"customFlowLabel","deviceChosen","scanCompletedAt","severity","issueId","issueDescription","wcagConformance","url","pageTitle","context","howToFix","axeImpact","xpath","learnMore"
"None","Desktop","2026-01-15T14:21:57.022Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.va.gov/hines-health-care/programs/electronic-health-record-modernization/","Electronic Health Record Modernization | VA Hines Health Care | Veterans Affairs","<h4>The three major goals of the EHRM program are to:</h4>","Fix any of the following:
  Heading order invalid","moderate","h4","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:21:57.022Z","Good to Fix","empty-heading","Ensure headings have discernible text","cat.name-role-value,best-practice","https://www.va.gov/erie-health-care/news-releases/page-3/","News Releases | VA Erie Health Care | Veterans Affairs","<h2 class=""vads-u-margin-bottom--1p5 vads-u-font-size--md medium-screen:vads-u-font-size--lg""><va-link href=""/erie-health-care/news-releases/million-veteran-program-returns-to-erie"" text=""Million Veteran Program Returns to Erie""></va-link></h2>","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","minor","li:nth-child(1) > section > h2","https://dequeuniversity.com/rules/axe/4.11/empty-heading?application=playwright"
"None","Desktop","2026-01-15T14:21:57.022Z","Good to Fix","empty-heading","Ensure headings have discernible text","cat.name-role-value,best-practice","https://www.va.gov/erie-health-care/news-releases/page-3/","News Releases | VA Erie Health Care | Veterans Affairs","<h2 class=""vads-u-margin-bottom--1p5 vads-u-font-size--md medium-screen:vads-u-font-size--lg""><va-link href=""/erie-health-care/news-releases/erie-va-medical-center-seeks-volunteer-drivers"" text=""Erie VA Medical Center Seeks Volunteer Drivers""></va-link></h2>","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","minor","li:nth-child(2) > section > h2","https://dequeuniversity.com/rules/axe/4.11/empty-heading?application=playwright"
"None","Desktop","2026-01-15T14:21:57.022Z","Good to Fix","empty-heading","Ensure headings have discernible text","cat.name-role-value,best-practice","https://www.va.gov/erie-health-care/news-releases/page-3/","News Releases | VA Erie Health Care | Veterans Affairs","<h2 class=""vads-u-margin-bottom--1p5 vads-u-font-size--md medium-screen:vads-u-font-size--lg""><va-link href=""/erie-health-care/news-releases/erie-va-medical-center-hosts-veteran-resource-fairs"" text=""Erie VA Medical Center Hosts Veteran Resource Fairs""></va-link></h2>","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","minor","li:nth-child(3) > section > h2","https://dequeuniversity.com/rules/axe/4.11/empty-heading?application=playwright"
"None","Desktop","2026-01-15T14:21:57.022Z","Good to Fix","empty-heading","Ensure headings have discernible text","cat.name-role-value,best-practice","https://www.va.gov/erie-health-care/news-releases/page-3/","News Releases | VA Erie Health Care | Veterans Affairs","<h2 class=""vads-u-margin-bottom--1p5 vads-u-font-size--md medium-screen:vads-u-font-size--lg""><va-link href=""/erie-health-care/news-releases/erie-va-medical-center-hosts-veteran-town-hall-0"" text=""Erie VA Medical Center Hosts Veteran Town Hall""></va-link></h2>","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","minor","li:nth-child(4) > section > h2","https://dequeuniversity.com/rules/axe/4.11/empty-heading?application=playwright"
"None","Desktop","2026-01-15T14:21:57.022Z","Good to Fix","empty-heading","Ensure headings have discernible text","cat.name-role-value,best-practice","https://www.va.gov/erie-health-care/news-releases/page-3/","News Releases | VA Erie Health Care | Veterans Affairs","<h2 class=""vads-u-margin-bottom--1p5 vads-u-font-size--md medium-screen:vads-u-font-size--lg""><va-link href=""/erie-health-care/news-releases/annual-veterans-day-parade-announced"" text=""Annual Veterans Day Parade Announced""></va-link></h2>","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","minor","li:nth-child(5) > section > h2","https://dequeuniversity.com/rules/axe/4.11/empty-heading?application=playwright"
"None","Desktop","2026-01-15T14:21:57.022Z","Good to Fix","empty-heading","Ensure headings have discernible text","cat.name-role-value,best-practice","https://www.va.gov/erie-health-care/news-releases/page-3/","News Releases | VA Erie Health Care | Veterans Affairs","<h2 class=""vads-u-margin-bottom--1p5 vads-u-font-size--md medium-screen:vads-u-font-size--lg""><va-link href=""/erie-health-care/news-releases/erie-va-medical-center-honored-for-excellence-in-sustainability"" text=""Erie VA Medical Center Honored for Excellence in Sustainability""></va-link></h2>","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","minor","li:nth-child(6) > section > h2","https://dequeuniversity.com/rules/axe/4.11/empty-heading?application=playwright"
"None","Desktop","2026-01-15T14:21:57.022Z","Good to Fix","empty-heading","Ensure headings have discernible text","cat.name-role-value,best-practice","https://www.va.gov/erie-health-care/news-releases/page-3/","News Releases | VA Erie Health Care | Veterans Affairs","<h2 class=""vads-u-margin-bottom--1p5 vads-u-font-size--md medium-screen:vads-u-font-size--lg""><va-link href=""/erie-health-care/news-releases/erie-va-medical-center-hosts-veteran-town-hall"" text=""Erie VA Medical Center Hosts Veteran Town Hall""></va-link></h2>","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","minor","li:nth-child(7) > section > h2","https://dequeuniversity.com/rules/axe/4.11/empty-heading?application=playwright"
"None","Desktop","2026-01-15T14:21:57.022Z","Good to Fix","empty-heading","Ensure headings have discernible text","cat.name-role-value,best-practice","https://www.va.gov/erie-health-care/news-releases/page-3/","News Releases | VA Erie Health Care | Veterans Affairs","<h2 class=""vads-u-margin-bottom--1p5 vads-u-font-size--md medium-screen:vads-u-font-size--lg"">","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","minor","li:nth-child(8) > section > h2","https://dequeuniversity.com/rules/axe/4.11/empty-heading?application=playwright"
"None","Desktop","2026-01-15T14:21:57.022Z","Good to Fix","empty-heading","Ensure headings have discernible text","cat.name-role-value,best-practice","https://www.va.gov/erie-health-care/news-releases/page-3/","News Releases | VA Erie Health Care | Veterans Affairs","<h2 class=""vads-u-margin-bottom--1p5 vads-u-font-size--md medium-screen:vads-u-font-size--lg""><va-link href=""/erie-health-care/news-releases/no-cost-va-flu-shots-for-eligible-veterans-0"" text=""No-Cost VA Flu Shots for Eligible Veterans""></va-link></h2>","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","minor","li:nth-child(9) > section > h2","https://dequeuniversity.com/rules/axe/4.11/empty-heading?application=playwright"
