"customFlowLabel","deviceChosen","scanCompletedAt","severity","issueId","issueDescription","wcagConformance","url","pageTitle","context","howToFix","axeImpact","xpath","learnMore"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","aria-allowed-role","Ensure role attribute has an appropriate value for the element","cat.aria,best-practice","https://www.energy.gov/","Department of Energy","<li class=""field__item splide__slide is-active is-visible"" id=""main-carousel-slide01"" role=""group"" aria-roledescription=""slide"" aria-label=""1 of 4"" style=""width: calc(100%);"">","Fix any of the following:
  ARIA role group is not allowed for given element","minor","#main-carousel-slide01","https://dequeuniversity.com/rules/axe/4.11/aria-allowed-role?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","aria-allowed-role","Ensure role attribute has an appropriate value for the element","cat.aria,best-practice","https://www.energy.gov/","Department of Energy","<li class=""splide__slide is-active is-visible"" id=""thumbnail-carousel-slide01"" role=""group"" aria-roledescription=""slide"" aria-label=""1 of 4"" aria-current=""true"" tabindex=""0"">","Fix any of the following:
  ARIA role group is not allowed for given element","minor","#thumbnail-carousel-slide01","https://dequeuniversity.com/rules/axe/4.11/aria-allowed-role?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","aria-allowed-role","Ensure role attribute has an appropriate value for the element","cat.aria,best-practice","https://www.energy.gov/","Department of Energy","<li class=""splide__slide is-visible is-next"" id=""thumbnail-carousel-slide02"" role=""group"" aria-roledescription=""slide"" aria-label=""2 of 4"" tabindex=""0"">","Fix any of the following:
  ARIA role group is not allowed for given element","minor","#thumbnail-carousel-slide02","https://dequeuniversity.com/rules/axe/4.11/aria-allowed-role?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","aria-allowed-role","Ensure role attribute has an appropriate value for the element","cat.aria,best-practice","https://www.energy.gov/","Department of Energy","<li class=""splide__slide is-visible"" id=""thumbnail-carousel-slide03"" role=""group"" aria-roledescription=""slide"" aria-label=""3 of 4"" tabindex=""0"">","Fix any of the following:
  ARIA role group is not allowed for given element","minor","#thumbnail-carousel-slide03","https://dequeuniversity.com/rules/axe/4.11/aria-allowed-role?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","aria-allowed-role","Ensure role attribute has an appropriate value for the element","cat.aria,best-practice","https://www.energy.gov/","Department of Energy","<li class=""splide__slide is-visible"" id=""thumbnail-carousel-slide04"" role=""group"" aria-roledescription=""slide"" aria-label=""4 of 4"" tabindex=""0"">","Fix any of the following:
  ARIA role group is not allowed for given element","minor","#thumbnail-carousel-slide04","https://dequeuniversity.com/rules/axe/4.11/aria-allowed-role?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/lm/history","History | Department of Energy","<h5><a href=""/management/articles/gosling-manhattan-project-making-atomic-bomb"" data-once=""links"">The Manhattan Project: Making the Atomic Bomb&nbsp;</a></h5>","Fix any of the following:
  Heading order invalid","moderate","#energy-accordion--2-1 > .paragraph--type--text-field.paragraph.paragraph--view-mode--default > .paragraph__column > .field--field_text.field--name-field-text.field--text_default > h5:nth-child(1)","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Must Fix","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT,RGAAv4,RGAA-3.2.1","https://www.energy.gov/us-department-energy-national-laboratories","U.S Department of Energy National Laboratories | Department of Energy","<a href=""/login?destination=%2Fmediacard%2F1931368976827286181"" class=""tl-button tl-button-primary"">Sign in</a>","Fix any of the following:
  Element has insufficient color contrast of 3.52 (foreground color: #ffffff, background color: #0088ff, font size: 10.5pt (14px), font weight: bold). Expected contrast ratio of 4.5:1","serious",".text-justify > iframe, .tl-button","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","landmark-unique","Ensure landmarks are unique","cat.semantics,best-practice","https://www.energy.gov/us-department-energy-national-laboratories","U.S Department of Energy National Laboratories | Department of Energy","<main class=""main-content usa-layout-docs usa-section node-type--homepage"" id=""main-content"" role=""main"" tabindex=""-1"">","Fix any of the following:
  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable","moderate","#main-content","https://dequeuniversity.com/rules/axe/4.11/landmark-unique?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Must Fix","link-name","Ensure links have discernible text","cat.name-role-value,wcag2a,wcag244,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.2.4.4,EN-9.4.1.2,ACT,RGAAv4,RGAA-6.2.1","https://www.energy.gov/us-department-energy-national-laboratories","U.S Department of Energy National Laboratories | Department of Energy","<a href=""/""><img src=""https://cdn.thinglink.me/gfx/errors/logo-black.svg"" alt="""" class=""logo"" width=""99"" height=""22""></a>","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","serious",".text-justify > iframe, a[href=""/""]","https://dequeuniversity.com/rules/axe/4.11/link-name?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/topics/cybersecurity","Cybersecurity | Department of Energy","<h5><strong>Cybersecurity RD&amp;D Funding Opportunities</strong></h5>","Fix any of the following:
  Heading order invalid","moderate","h5","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/topics","All Topics | Department of Energy","<h3>Filter by Letter:</h3>","Fix any of the following:
  Heading order invalid","moderate","h3","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
